,EXT_SOURCE_MEAN,EXT_23_PRODUCT,EXT_MAX,EXT_123_PRODUCT,EXT_13_PRODUCT,EXT_MIN,EXT_SOURCE_3,EXT_12_PRODUCT,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_BIRTH,AGE_YEARS,DAYS_EMPLOYED,EMPLOYED_BIRTH_RATIO,GOODS_CREDIT_RATIO,NAME_EDUCATION_TYPE_Higher education,DAYS_LAST_PHONE_CHANGE,DAYS_ID_PUBLISH,NAME_EDUCATION_TYPE_Secondary / secondary special,EXT_SOURCE_STD,EMPLOYED_BIRTH_RATIO_IS_MISSING,DAYS_EMPLOYED_ANOM,DAYS_EMPLOYED_IS_MISSING,ORGANIZATION_TYPE_XNA,TARGET
EXT_SOURCE_MEAN,1.0,0.9088062017462428,0.8429840827006754,0.9310053009071309,0.8585385041280952,0.8799426212123554,0.7040122867608941,0.8692133553762326,0.7493282677924981,0.7415827204428049,-0.2798633827064503,0.2798633827064437,-0.17978479260291869,0.12799640204580387,0.062106225892286135,0.09943072453587631,-0.19278632782491606,-0.12487433493428303,-0.07064622810075043,-0.29146099904507894,0.09522386683007818,0.09522386683007818,0.09522386683007818,0.09522386683007818,-0.2220519555735911
EXT_23_PRODUCT,0.9088062017462428,1.0,0.6541655357277688,0.8236612393971733,0.6349206325264164,0.8822199742631608,0.7357849055893565,0.5570292835677492,0.7046496439780833,0.25065299986178474,-0.182668281589062,0.18266828158906115,-0.14235870456027055,0.11235870515550268,0.05168570041338457,0.06149314747750339,-0.1706304206050353,-0.10850056916806024,-0.04095519301262565,-0.451936022454283,0.05786348569400936,0.05786348569400936,0.05786348569400936,0.05786348569400936,-0.1994865836913118
EXT_MAX,0.8429840827006754,0.6541655357277688,1.0,0.6631364897998604,0.6613711744918678,0.5097545866395511,0.581230315651189,0.6862835280334756,0.6249586967418672,0.6426698266014128,-0.21643404400567143,0.21643404400566768,-0.15749233685232134,0.11969585276964798,0.05446233037205229,0.11454921727573733,-0.18728455953107329,-0.12217865708360585,-0.0891641482533555,0.25352229329261206,0.06292453754554396,0.06292453754554396,0.06292453754554396,0.06292453754554396,-0.19687609781973162
EXT_123_PRODUCT,0.9310053009071309,0.8236612393971733,0.6631364897998604,1.0,0.8787033208799314,0.9184486479928026,0.6186315651023032,0.8348504372726533,0.561639396781651,0.6815499274586724,-0.43697277201749224,0.4369727720174975,-0.22170600836376414,0.13921678492391457,0.05811371773797938,0.11794354804834083,-0.17189557513167866,-0.12619055440921198,-0.08517117919362895,-0.456928977439564,0.1938971659262066,0.1938971659262066,0.1938971659262066,0.1938971659262066,-0.18855210092145977
EXT_13_PRODUCT,0.8585385041280952,0.6349206325264164,0.6613711744918678,0.8787033208799314,1.0,0.7961615025643272,0.7274085094893689,0.640289379744897,0.19712394150101611,0.7609770063182286,-0.505040774935618,0.5050407749356229,-0.23983503525081204,0.1478840058591809,0.04577664017924715,0.07801850532223331,-0.128187325992631,-0.1436730536675911,-0.043450795636375134,-0.3231401783015967,0.2581151827894813,0.2581151827894813,0.2581151827894813,0.2581151827894813,-0.18783159920201478
EXT_MIN,0.8799426212123554,0.8822199742631608,0.5097545866395511,0.9184486479928026,0.7961615025643272,1.0,0.6284761071793463,0.7827230689627774,0.6628254490290342,0.6193123338989323,-0.26398272410765605,0.26398272410766,-0.15334179243197013,0.1023158709095977,0.05183525902400825,0.05764103999341599,-0.14567523928747994,-0.09509702998810393,-0.03358748823808103,-0.6658540174164023,0.10143557644778395,0.10143557644778395,0.10143557644778395,0.10143557644778395,-0.18526619522051707
EXT_SOURCE_3,0.7040122867608941,0.7357849055893565,0.581230315651189,0.6186315651023032,0.7274085094893689,0.6284761071793463,1.0,0.18757915381083193,0.10916729237112036,0.18684550770038874,-0.2054776029977802,0.20547760299778983,-0.1297216966659496,0.10381014685435605,0.0219759990873642,-0.02242876882937128,-0.07525615099569821,-0.13159686977076446,0.038163132635324976,-0.19737091732637374,0.11526256716439197,0.11526256716439197,0.11526256716439197,0.11526256716439197,-0.17891869762836912
EXT_12_PRODUCT,0.8692133553762326,0.5570292835677492,0.6862835280334756,0.8348504372726533,0.640289379744897,0.7827230689627774,0.18757915381083193,1.0,0.6959108767236898,0.8084037925024352,-0.4769173141902577,0.47691731419025307,-0.2201422900181086,0.12627284428095023,0.06551682920277499,0.17043178835436093,-0.18723975096865314,-0.11594092557542657,-0.1341543717063384,-0.2811482678778057,0.19413612974654032,0.19413612974654032,0.19413612974654032,0.19413612974654032,-0.1755747216774738
EXT_SOURCE_2,0.7493282677924981,0.7046496439780833,0.6249586967418672,0.561639396781651,0.19712394150101611,0.6628254490290342,0.10916729237112036,0.6959108767236898,1.0,0.21398238316333346,-0.09199587015386387,0.09199587015386407,-0.09344429445057285,0.07215177380958776,0.061808619024185905,0.12458128787526336,-0.1957641653594389,-0.050955131246618754,-0.10697478581481813,-0.24362404064948653,-0.019508085965658943,-0.019508085965658943,-0.019508085965658943,-0.019508085965658943,-0.16047167160520673
EXT_SOURCE_1,0.7415827204428049,0.25065299986178474,0.6426698266014128,0.6815499274586724,0.7609770063182286,0.6193123338989323,0.18684550770038874,0.8084037925024352,0.21398238316333346,1.0,-0.600609973950311,0.600609973950311,-0.2527116565308188,0.13885442720199115,0.04863051652722842,0.13518046034247624,-0.13260718519576342,-0.13237489764477092,-0.09540147959116298,-0.13674121556060853,0.2942910999989165,0.2942910999989165,0.2942910999989165,0.2942910999989165,-0.15531712606395018
